David Ferrer,Male,Tennis,23.8
Marin Cilic,Male,Tennis,22.7
Milos Raonic,Male,Tennis,25.5
Tomas Berdych,Male,Tennis,23.9
Andy Murray,Male,Tennis,23.3
Kei Nishikori,Male,Tennis,23.4
Stan Wawrinka,Male,Tennis,24.2
Rafael Nadal,Male,Tennis,24.8
Roger Federer,Male,Tennis,24.8
Novak Djokovic,Male,Tennis,22.6
Alexis Sanchez,Male,Football,24.2
Branislav Ivanovic,Male,Football,24.3
Fraser Forster,Male,Football,23
Angel di Maria,Male,Football,23.7
Raheem Sterling,Male,Football,23.9
Cesc Fabregas,Male,Football,24.5
Eden Hazard,Male,Football,24.7
Diego Costa,Male,Football,22.9
Wilfried Bony,Male,Football,26
Sergio Aguero,Male,Football,25.7
Manuel Neuer,Male,Football,24.6
robert lewandowski,Male,Football,23
mosalah,Male,Football,23.1
Dominika Cibulkova,Female,Tennis,21.2
Angelique Kerber,Female,Tennis,23
Poorani,female,Tennis,24.1
Caroline Wozniacki,Female,Tennis,18.1
Eugenie Bouchard,Female,Tennis,18.3
Agnieszka Radwanska,Female,Tennis,18.9
Ana Ivanovic,Female,Tennis,20.4
Petra Kvitova,Female,Tennis,20.9
Simona Halep,Female,Tennis,21.3
Maria Sharapova,Female,Tennis,16.7
Serena Williams,Female,Tennis,22.2
P. V. Sindhu,Female,Badminton,20.2
Saina Nehwal,Female,Badminton,22
Carolina Marin,Female,Badminton,21.9
Tai Tzu-ying,Female,Badminton,21.4
Sakshi Malik,Female,wrestler,25
Mary Kom,Female,Boxer,21.6
Dipa Karmakar,Female,Gymnast,20.8
